municipio,ano,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Trairao,2004,0.6763888192590267,0.8936876363587639,0.4530002436596259,0.6704951745887969,1838.6832997276586,24.915871106457068,29.0637472780196,15.562725065089573,2063.3265958641277,1508050,2700.0
Ulianopolis,2004,0.63067857956774,0.8762566404553963,0.43339811338770684,0.6753756248909498,1473.3348004468505,25.567792110360347,29.850358052169447,16.829941533841268,2138.6640129292277,1508126,3064.0
Uruara,2004,0.5759026157617132,0.9002096399864873,0.3995643280877573,0.6873491482361079,1810.133959541639,24.688377644404085,28.718710847332268,14.882026092634474,2076.064411721584,1508159,2400.0
Alenquer,2005,0.6875029840395188,0.8967900005112163,0.44782325569404263,0.6690917903742964,1476.6001933687726,25.533460985731313,30.149224325863877,17.104668875397827,3721.0815859866366,1500404,2700.0
Monte Alegre,2005,0.6438926205215484,0.8499094030235131,0.417472727902266,0.6432887813303976,1373.4532608918369,25.742800744726484,30.057425427839384,17.208950289488712,3254.025202846506,1504802,2700.0
Altamira,2005,0.6806270753558585,0.9021385652755204,0.4480881829333724,0.6709390019489346,1654.24951773856,24.928875103306467,29.054494313257614,16.192593035651317,2371.390557858141,1500602,2000.0
Belterra,2005,0.4998347066568933,0.7194696848650364,0.3359661307827418,0.5415151062115279,1539.2156190951098,26.46379328505348,29.276391192740732,16.426443483430162,1339.4396448759014,1501451,2700.0
Capanema,2005,0.6340181805535395,0.8640972226052727,0.43380216525199533,0.6687087506984506,1683.286425041928,26.37753067543128,30.348492646701708,17.102694554272187,1530.6246884413365,1502202,2400.0
Capitao Poco,2005,0.6536554558391119,0.8704959014236887,0.4355244888706969,0.6524505398179165,1743.7633768911992,26.563438402701877,31.221391540067852,17.635375139127014,2422.6179157292877,1502301,2400.0
Conceicao Do Araguaia,2005,0.6994067899710733,0.8110350118635332,0.44976270764547427,0.5752322263060803,1605.8546562415033,26.10297067869178,30.11678150031963,17.51158562106067,1274.2224150084933,1502707,3000.0
Curua,2005,0.5048097476527967,0.6662509104914747,0.32002857464597784,0.4752580145428586,1804.305503762891,26.774337597002695,29.936275664642427,16.91508014649285,1551.4199899735947,1502855,3000.0
Dom Eliseu,2005,0.6707447530488609,0.8761094132536654,0.44404410761072627,0.6516413987294721,1492.447692069018,25.854887223610667,30.267965979358664,17.48125402822615,2913.6976347312693,1502939,3300.0
Floresta Do Araguaia,2005,0.6729686406420013,0.8037650617450063,0.4395771999626487,0.5691979124803618,1529.7916326253244,26.006931967678554,29.910972883110425,17.33300093046627,1244.6457182222034,1503044,3000.0
Novo Progresso,2005,0.7283687433948797,0.8898893330258205,0.46661253668759395,0.6478871234494517,1956.5178848199923,24.58844402267612,28.855122934289735,16.80719449487408,2348.668951641635,1505031,2500.0
Paragominas,2005,0.663659061713765,0.8877148141798833,0.4425306661111704,0.6607494391245982,1513.6727059240156,26.395200548339655,31.100841813853158,17.627601670367795,3484.4526216555746,1505502,3000.0
Redencao,2005,0.7094493857112121,0.8286003232796579,0.4818860206769576,0.6093040329938553,1503.6039448858428,25.4351831523158,29.438986151670115,16.973168878140584,1247.73839952863,1506138,3000.0
