municipio,ano,soy_area_ha,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Dom Eliseu,2009,5539.645671719784,0.4536051851558933,0.8415723716123581,0.3437195405002748,0.7657128848992941,2358.546824884674,25.15008874923754,29.37279646951664,15.99631766154508,2451.640848016344,1502939,3000
Paragominas,2009,12591.87197902227,0.4698327708199333,0.8548287260206584,0.3503593287676409,0.743935612395476,2447.136628160476,25.54069119117149,29.86476578355638,15.93254624851904,2800.98311108877,1505502,3000
Redencao,2009,778.8012000427213,0.6370821832579184,0.8691919117647058,0.4516056561085973,0.7236816176470591,1944.946192717524,24.99283988655897,28.87977622668169,16.41274014988165,1152.214045947747,1506138,2400
Rondon Do Para,2009,40.55578551252775,0.4806378359835338,0.7551183630640085,0.3168244612155945,0.5272852570828961,2414.057361817527,25.01059352941059,29.15426535643608,15.95867932626134,1949.635456444377,1506187,3000
Santa Maria Das Barreiras,2009,1571.458572534164,0.5901190162996857,0.8648513011152416,0.409921160995139,0.710194423791821,1834.538023610907,24.94328605981344,28.88439595527859,16.43857087473107,1454.104624901967,1506583,3000
Santana Do Araguaia,2009,3885.981204202985,0.6370027446153844,0.86824304,0.4648796923076924,0.7545878400000003,1720.550490497998,24.8434374132941,28.74952017147326,16.19675950868742,1609.841206437174,1506708,3300
Santarem,2009,8977.159545681507,0.4689935011149906,0.8417081600085868,0.3521774316014331,0.7429596394355686,2191.218048006827,25.53642339186854,28.61350353113155,15.2554604731553,1561.252820668069,1506807,2700
Ulianopolis,2009,5992.807077447384,0.4361727804803892,0.845167687747034,0.3374896093037401,0.7860055335968369,2390.434344915218,25.47049926271526,29.63473174719674,16.01859175464032,2184.031447746659,1508126,3000
Uruara,2009,508.0062896278563,0.4013322051282052,0.7885573333333333,0.2888631794871795,0.6556453333333332,2148.219718896778,24.55521967369322,28.55471496334107,14.65667518174824,2063.106454637593,1508159,2701
Belterra,2010,5228.466956890972,0.4602892253777839,0.8412089245854042,0.3446310713835509,0.743233497665119,1295.200458402982,27.00206402402145,29.81872117167075,17.43468860790577,1562.170129244495,1501451,2700
Conceicao Do Araguaia,2010,44.17376119384765,0.7156785714285715,0.8626,0.5104857142857143,0.7155,1353.57339884406,26.67185498688439,30.77466776270823,18.17821612660504,1349.537687345045,1502707,3000
Dom Eliseu,2010,6335.755062254707,0.4461783535111827,0.8713763609908443,0.3391046095569329,0.7845405186078986,1278.090348153095,26.38323989496214,30.79880832709022,18.00733421153225,3166.452834435549,1502939,2950
Floresta Do Araguaia,2010,40.75773079833992,0.6380607142857144,0.8218000000000001,0.4725857142857143,0.73315,1408.672611601732,26.48201376468129,30.40020337156142,18.02270010927074,1310.388734620254,1503044,3000
Paragominas,2010,14041.04259026517,0.4683009887640448,0.8538537977528102,0.3499471781701444,0.7442428764044928,1346.204194453813,26.80493012130296,31.40818751874597,17.8417427022393,3639.177958848844,1505502,2700
Redencao,2010,592.1643276693613,0.6302261654135338,0.8299242105263156,0.4370900000000001,0.7134915789473687,1438.148916320808,26.015262372416,30.10585731059569,17.77981352635765,1342.918267386745,1506138,2500
Rondon Do Para,2010,39.12604667224358,0.4739309248988158,0.7397157397691501,0.3096855943636637,0.5575649527806925,1469.719247088541,26.25793232443131,30.59112566597492,17.95217179841061,2554.593116370717,1506187,2750
Santa Maria Das Barreiras,2010,2041.875971400572,0.5999531009409753,0.8693044910179651,0.4282500641573995,0.7800787425149701,1390.680482868181,26.04436335929862,30.28420510208655,17.99509630388411,1814.300284256477,1506583,3000
Santana Do Araguaia,2010,4153.002613140627,0.6309692963752668,0.8859059701492535,0.4496348507462689,0.8029797014925376,1460.625055574597,26.01314604449231,30.31074949609367,18.05921303946522,2144.006384834462,1506708,3354
Santarem,2010,10422.34226455597,0.4403980923477567,0.8384357584394205,0.329769949425499,0.730155624897745,1294.449115079163,26.91232276686971,30.19309735406982,17.50134867328313,2333.91698704939,1506807,2700
Ulianopolis,2010,6342.737391070477,0.4380969186358755,0.8655240601503772,0.3296086331901182,0.7626531954887215,1199.680168387388,26.63361788504282,31.03305855880151,17.87447202861124,2703.459087409731,1508126,3296
Uruara,2010,679.3143756521465,0.4187199862637362,0.8235874999999999,0.3248535714285715,0.7244692307692303,1460.681273758403,25.74723110562709,29.90140462192272,16.44218174367449,2849.701899805866,1508159,2400
Altamira,2011,23.64250039062504,0.6989357142857143,0.8812000000000001,0.4795190476190476,0.7467,1920.980220604815,24.38674231757897,28.38166209504231,15.53621089376822,2170.928906775596,1500602,2700
Belterra,2011,4264.26502143449,0.4962081831445944,0.8613201187575438,0.3702975991083018,0.7599663414023182,2063.424467751947,25.53654804244767,28.18014800162156,14.89378681889717,1099.951452364818,1501451,2700
Dom Eliseu,2011,9327.196082708153,0.464632864655085,0.8700904902444758,0.3613730982506542,0.8058606357787913,2191.420658158464,25.05742714634805,29.31310913073136,16.3679308320087,2341.36910450725,1502939,3000
Floresta Do Araguaia,2011,98.52539904174826,0.6273442857142856,0.7963466666666668,0.4521247619047619,0.7147266666666667,1738.378813802394,25.53699257048529,29.3787784615118,16.87770437786991,1180.548190237106,1503044,3000
Paragominas,2011,21855.98675439032,0.4662732462524593,0.8576766646130204,0.3553866647524291,0.7744878540056025,2122.1791765103,25.42013880858152,29.80436606839125,16.22853737980293,2628.882875015556,1505502,3200
Redencao,2011,377.6040405416818,0.5890802107728338,0.8597950819672131,0.4175055035128806,0.7935393442622951,1869.098611453279,25.06336068787458,29.00160939968161,16.73293097193469,1193.345321748089,1506138,2500
Rondon Do Para,2011,555.9306634207237,0.4649744588236079,0.8769903678992625,0.3674517049153916,0.8309014330686456,2163.276459001381,24.98082175827789,29.08460697089922,16.37445893148905,1935.046867977224,1506187,3000
Santa Maria Das Barreiras,2011,1903.16464867717,0.6093387133699635,0.8927900641025638,0.4379633699633699,0.8140955128205126,1791.454112017382,25.03871788585514,29.04792607890761,16.78000051991407,1525.702780213336,1506583,2749
Santana Do Araguaia,2011,4726.472241851783,0.6197297925082632,0.8830473007712091,0.4533601817847961,0.8162470437018,1780.122647895375,24.98267556540023,29.04703232458877,16.75296551165061,1762.560238667695,1506708,3300
Santarem,2011,8088.427693558818,0.502478518287026,0.8556531702202026,0.3768143131999074,0.764664334148899,2092.079280372754,25.43557215301523,28.52359291011494,15.00852072519931,1551.544454207428,1506807,2700
Ulianopolis,2011,7806.44765898213,0.4450438814636284,0.871326610429446,0.3392203439964944,0.7948165644171771,2018.913480550801,25.30587932029621,29.52270433497495,16.36022470169627,2032.819122704057,1508126,3000
Uruara,2011,489.8472906799332,0.5254425087108014,0.8956780487804882,0.3959132404181185,0.7975804878048779,2068.175588746768,24.51152813238532,28.48563253207234,14.68271595402518,2106.193290570448,1508159,2785
Altamira,2012,23.64250039062504,0.7143619047619048,0.8919333333333334,0.5239738095238096,0.7565,1698.002968476294,24.47279707042186,28.57352221747145,16.10319872968332,2271.784077997551,1500602,2700
Belterra,2012,3067.774597904751,0.4399165187438979,0.8260107496979969,0.3319121092053403,0.7468416375473279,1586.880231841062,25.92082109726184,28.6644497972304,16.62120922478778,1304.265995696094,1501451,2700
